Rank,NOC,Gold,Silver,Bronze,Total,Year,Medal_Score,Medal_Share
2,USA,36,39,37,112,2008,223,0.11691022964509394
3,RUS,24,13,23,60,2008,121,0.06263048016701461
4,GBR,19,13,19,51,2008,102,0.05323590814196242
5,GER,16,11,14,41,2008,84,0.04279749478079332
6,AUS,14,15,17,46,2008,89,0.04801670146137787
7,KOR,13,11,8,32,2008,69,0.033402922755741124
8,JPN,9,8,8,25,2008,51,0.026096033402922755
9,ITA,8,9,10,27,2008,52,0.028183716075156576
10,FRA,7,16,20,43,2008,73,0.04488517745302714
11,NED,7,5,4,16,2008,35,0.016701461377870562
12,UKR,7,4,11,22,2008,40,0.022964509394572025
13,KEN,6,4,6,16,2008,32,0.016701461377870562
14,ESP,5,11,3,19,2008,40,0.019832985386221295
15,JAM,5,4,2,11,2008,25,0.011482254697286013
16,POL,4,5,2,11,2008,24,0.011482254697286013
17,ETH,4,2,1,7,2008,17,0.007306889352818371
18,ROU,4,1,4,9,2008,18,0.009394572025052192
19,CUB,3,10,17,30,2008,46,0.031315240083507306
20,CAN,3,9,8,20,2008,35,0.020876826722338204
21,HUN,3,5,2,10,2008,21,0.010438413361169102
22,NOR,3,5,1,9,2008,20,0.009394572025052192
23,BRA,3,4,10,17,2008,27,0.017745302713987474
24,BLR,3,4,7,14,2008,24,0.014613778705636743
25,CZE,3,3,1,7,2008,16,0.007306889352818371
26,SVK,3,3,0,6,2008,15,0.006263048016701462
27,NZL,3,2,4,9,2008,17,0.009394572025052192
28,GEO,3,2,2,7,2008,15,0.007306889352818371
29,KAZ,2,3,4,9,2008,16,0.009394572025052192
30,DEN,2,2,3,7,2008,13,0.007306889352818371
31,PRK,2,2,2,6,2008,12,0.006263048016701462
31,THA,2,2,2,6,2008,12,0.006263048016701462
33,MGL,2,2,0,4,2008,10,0.0041753653444676405
34,SUI,2,1,4,7,2008,12,0.007306889352818371
35,ARG,2,0,4,6,2008,10,0.006263048016701462
36,MEX,2,0,2,4,2008,8,0.0041753653444676405
37,BEL,2,0,0,2,2008,6,0.0020876826722338203
38,ZIM,1,3,0,4,2008,9,0.0041753653444676405
39,SLO,1,2,2,5,2008,9,0.005219206680584551
40,AZE,1,1,4,6,2008,9,0.006263048016701462
40,INA,1,1,4,6,2008,9,0.006263048016701462
42,BUL,1,1,3,5,2008,8,0.005219206680584551
42,TUR,1,1,3,5,2008,8,0.005219206680584551
44,TPE,1,1,2,4,2008,7,0.0041753653444676405
44,FIN,1,1,2,4,2008,7,0.0041753653444676405
46,LAT,1,1,1,3,2008,6,0.003131524008350731
47,DOM,1,1,0,2,2008,5,0.0020876826722338203
47,EST,1,1,0,2,2008,5,0.0020876826722338203
47,POR,1,1,0,2,2008,5,0.0020876826722338203
47,TTO,1,1,0,2,2008,5,0.0020876826722338203
51,IND,1,0,2,3,2008,5,0.003131524008350731
52,IRI,1,0,1,2,2008,4,0.0020876826722338203
53,CMR,1,0,0,1,2008,3,0.0010438413361169101
53,PAN,1,0,0,1,2008,3,0.0010438413361169101
53,TUN,1,0,0,1,2008,3,0.0010438413361169101
56,SWE,0,4,1,5,2008,9,0.005219206680584551
57,LTU,0,3,2,5,2008,8,0.005219206680584551
57,NGR,0,3,2,5,2008,8,0.005219206680584551
59,CRO,0,2,3,5,2008,7,0.005219206680584551
60,COL,0,2,1,3,2008,5,0.003131524008350731
60,GRE,0,2,1,3,2008,5,0.003131524008350731
62,ARM,0,1,4,5,2008,6,0.005219206680584551
63,UZB,0,1,3,4,2008,5,0.0041753653444676405
64,AUT,0,1,2,3,2008,4,0.003131524008350731
64,IRL,0,1,2,3,2008,4,0.003131524008350731
64,KGZ,0,1,2,3,2008,4,0.003131524008350731
64,SRB,0,1,2,3,2008,4,0.003131524008350731
68,ALG,0,1,1,2,2008,3,0.0020876826722338203
68,BAH,0,1,1,2,2008,3,0.0020876826722338203
68,MAR,0,1,1,2,2008,3,0.0020876826722338203
68,TJK,0,1,1,2,2008,3,0.0020876826722338203
72,CHI,0,1,0,1,2008,2,0.0010438413361169101
72,ECU,0,1,0,1,2008,2,0.0010438413361169101
72,ISL,0,1,0,1,2008,2,0.0010438413361169101
72,MAS,0,1,0,1,2008,2,0.0010438413361169101
72,SAM,0,1,0,1,2008,2,0.0010438413361169101
72,SGP,0,1,0,1,2008,2,0.0010438413361169101
72,RSA,0,1,0,1,2008,2,0.0010438413361169101
72,SUD,0,1,0,1,2008,2,0.0010438413361169101
72,VIE,0,1,0,1,2008,2,0.0010438413361169101
81,EGY,0,0,2,2,2008,2,0.0020876826722338203
82,AFG,0,0,1,1,2008,1,0.0010438413361169101
82,ISR,0,0,1,1,2008,1,0.0010438413361169101
82,MRI,0,0,1,1,2008,1,0.0010438413361169101
82,MDA,0,0,1,1,2008,1,0.0010438413361169101
82,TOG,0,0,1,1,2008,1,0.0010438413361169101
82,VEN,0,0,1,1,2008,1,0.0010438413361169101
1,USA,48,26,30,104,2012,226,0.10833333333333334
2,CHN,39,31,22,92,2012,201,0.09583333333333334
3,GBR,29,18,18,65,2012,141,0.06770833333333333
4,RUS,18,21,26,65,2012,122,0.06770833333333333
5,KOR,13,9,9,31,2012,66,0.03229166666666667
6,GER,11,20,13,44,2012,86,0.04583333333333333
7,FRA,11,11,13,35,2012,68,0.036458333333333336
8,AUS,8,15,12,35,2012,66,0.036458333333333336
9,ITA,8,9,11,28,2012,53,0.029166666666666667
10,HUN,8,4,6,18,2012,38,0.01875
11,JPN,7,14,17,38,2012,66,0.03958333333333333
12,IRI,7,5,1,13,2012,32,0.013541666666666667
13,NED,6,6,8,20,2012,38,0.020833333333333332
14,NZL,6,2,5,13,2012,27,0.013541666666666667
15,UKR,5,4,10,19,2012,33,0.019791666666666666
16,CUB,5,3,7,15,2012,28,0.015625
17,ESP,4,10,6,20,2012,38,0.020833333333333332
18,JAM,4,5,4,13,2012,26,0.013541666666666667
19,CZE,4,4,3,11,2012,23,0.011458333333333333
20,RSA,4,1,1,6,2012,15,0.00625
21,PRK,4,0,2,6,2012,14,0.00625
22,BRA,3,5,9,17,2012,28,0.017708333333333333
23,KAZ,3,2,6,11,2012,19,0.011458333333333333
23,POL,3,2,6,11,2012,19,0.011458333333333333
25,ETH,3,2,3,8,2012,16,0.008333333333333333
26,CRO,3,1,2,6,2012,13,0.00625
27,CAN,2,6,10,18,2012,28,0.01875
28,BLR,2,5,3,10,2012,19,0.010416666666666666
29,KEN,2,4,7,13,2012,21,0.013541666666666667
30,DEN,2,4,3,9,2012,17,0.009375
31,ROU,2,4,1,7,2012,15,0.007291666666666667
32,AZE,2,2,5,9,2012,15,0.009375
33,SUI,2,2,0,4,2012,10,0.004166666666666667
34,NOR,2,1,1,4,2012,9,0.004166666666666667
35,LTU,2,0,3,5,2012,9,0.005208333333333333
36,TUN,2,0,1,3,2012,7,0.003125
37,SWE,1,4,3,8,2012,14,0.008333333333333333
38,COL,1,3,5,9,2012,14,0.009375
39,MEX,1,3,4,8,2012,13,0.008333333333333333
40,GEO,1,2,3,6,2012,10,0.00625
41,IRL,1,1,4,6,2012,9,0.00625
42,ARG,1,1,2,4,2012,7,0.004166666666666667
42,SRB,1,1,2,4,2012,7,0.004166666666666667
42,SLO,1,1,2,4,2012,7,0.004166666666666667
42,TTO,1,1,2,4,2012,7,0.004166666666666667
46,TUR,1,1,1,3,2012,6,0.003125
47,DOM,1,1,0,2,2012,5,0.0020833333333333333
48,TPE,1,0,1,2,2012,4,0.0020833333333333333
48,LAT,1,0,1,2,2012,4,0.0020833333333333333
50,ALG,1,0,0,1,2012,3,0.0010416666666666667
50,BAH,1,0,0,1,2012,3,0.0010416666666666667
50,BRN,1,0,0,1,2012,3,0.0010416666666666667
50,GRN,1,0,0,1,2012,3,0.0010416666666666667
50,UGA,1,0,0,1,2012,3,0.0010416666666666667
50,VEN,1,0,0,1,2012,3,0.0010416666666666667
56,EGY,0,3,1,4,2012,7,0.004166666666666667
57,IND,0,2,4,6,2012,8,0.00625
58,MGL,0,2,3,5,2012,7,0.005208333333333333
59,THA,0,2,2,4,2012,6,0.004166666666666667
60,BUL,0,2,1,3,2012,5,0.003125
60,FIN,0,2,1,3,2012,5,0.003125
60,INA,0,2,1,3,2012,5,0.003125
63,SVK,0,1,3,4,2012,5,0.004166666666666667
64,BEL,0,1,2,3,2012,4,0.003125
65,ARM,0,1,1,2,2012,3,0.0020833333333333333
65,EST,0,1,1,2,2012,3,0.0020833333333333333
65,MAS,0,1,1,2,2012,3,0.0020833333333333333
65,PUR,0,1,1,2,2012,3,0.0020833333333333333
65,QAT,0,1,1,2,2012,3,0.0020833333333333333
70,BOT,0,1,0,1,2012,2,0.0010416666666666667
70,CYP,0,1,0,1,2012,2,0.0010416666666666667
70,GAB,0,1,0,1,2012,2,0.0010416666666666667
70,GUA,0,1,0,1,2012,2,0.0010416666666666667
70,MNE,0,1,0,1,2012,2,0.0010416666666666667
70,POR,0,1,0,1,2012,2,0.0010416666666666667
76,UZB,0,0,3,3,2012,3,0.003125
77,GRE,0,0,2,2,2012,2,0.0020833333333333333
77,SGP,0,0,2,2,2012,2,0.0020833333333333333
79,AFG,0,0,1,1,2012,1,0.0010416666666666667
79,CMR,0,0,1,1,2012,1,0.0010416666666666667
79,HKG,0,0,1,1,2012,1,0.0010416666666666667
79,KUW,0,0,1,1,2012,1,0.0010416666666666667
79,MAR,0,0,1,1,2012,1,0.0010416666666666667
79,KSA,0,0,1,1,2012,1,0.0010416666666666667
79,TJK,0,0,1,1,2012,1,0.0010416666666666667
79,VIE,0,0,1,1,2012,1,0.0010416666666666667
1,USA,46,37,38,121,2016,250,0.12448559670781893
2,GBR,27,23,17,67,2016,144,0.06893004115226338
3,CHN,26,18,26,70,2016,140,0.0720164609053498
4,RUS,19,17,20,56,2016,111,0.05761316872427984
5,GER,17,10,15,42,2016,86,0.043209876543209874
6,JPN,12,8,21,41,2016,73,0.04218106995884774
7,FRA,10,18,14,42,2016,80,0.043209876543209874
8,KOR,9,3,9,21,2016,42,0.021604938271604937
9,ITA,8,12,8,28,2016,56,0.02880658436213992
10,AUS,8,11,10,29,2016,56,0.029835390946502057
11,NED,8,7,4,19,2016,42,0.01954732510288066
12,HUN,8,3,4,15,2016,34,0.015432098765432098
13,BRA,7,6,6,19,2016,39,0.01954732510288066
14,ESP,7,4,6,17,2016,35,0.01748971193415638
15,KEN,6,6,1,13,2016,31,0.013374485596707819
16,JAM,6,3,2,11,2016,26,0.01131687242798354
17,CRO,5,3,2,10,2016,23,0.0102880658436214
18,CUB,5,2,4,11,2016,23,0.01131687242798354
19,NZL,4,9,5,18,2016,35,0.018518518518518517
20,CAN,4,3,15,22,2016,33,0.02263374485596708
21,UZB,4,2,7,13,2016,23,0.013374485596707819
22,COL,3,2,3,8,2016,16,0.00823045267489712
23,SUI,3,2,2,7,2016,15,0.00720164609053498
24,IRI,3,1,4,8,2016,15,0.00823045267489712
25,GRE,3,1,2,6,2016,13,0.006172839506172839
26,ARG,3,1,0,4,2016,11,0.00411522633744856
27,DEN,2,6,7,15,2016,25,0.015432098765432098
28,SWE,2,6,3,11,2016,21,0.01131687242798354
29,RSA,2,6,2,10,2016,20,0.0102880658436214
30,KAZ,2,5,10,17,2016,26,0.01748971193415638
31,UKR,2,5,4,11,2016,20,0.01131687242798354
32,SRB,2,4,2,8,2016,16,0.00823045267489712
33,POL,2,3,6,11,2016,18,0.01131687242798354
34,PRK,2,3,2,7,2016,14,0.00720164609053498
35,BEL,2,2,2,6,2016,12,0.006172839506172839
35,THA,2,2,2,6,2016,12,0.006172839506172839
37,SVK,2,2,0,4,2016,10,0.00411522633744856
38,GEO,2,1,4,7,2016,12,0.00720164609053498
39,AZE,1,7,10,18,2016,27,0.018518518518518517
40,BLR,1,4,4,9,2016,15,0.009259259259259259
41,TUR,1,3,4,8,2016,13,0.00823045267489712
42,ARM,1,3,0,4,2016,9,0.00411522633744856
43,CZE,1,2,7,10,2016,14,0.0102880658436214
44,ETH,1,2,5,8,2016,12,0.00823045267489712
45,SLO,1,2,1,4,2016,8,0.00411522633744856
46,INA,1,2,0,3,2016,7,0.0030864197530864196
47,ROU,1,1,2,4,2016,7,0.00411522633744856
48,BRN,1,1,0,2,2016,5,0.00205761316872428
48,VIE,1,1,0,2,2016,5,0.00205761316872428
50,TPE,1,0,2,3,2016,5,0.0030864197530864196
51,BAH,1,0,1,2,2016,4,0.00205761316872428
51,IOA,1,0,1,2,2016,4,0.00205761316872428
51,CIV,1,0,1,2,2016,4,0.00205761316872428
54,FIJ,1,0,0,1,2016,3,0.00102880658436214
54,JOR,1,0,0,1,2016,3,0.00102880658436214
54,KOS,1,0,0,1,2016,3,0.00102880658436214
54,PUR,1,0,0,1,2016,3,0.00102880658436214
54,SGP,1,0,0,1,2016,3,0.00102880658436214
54,TJK,1,0,0,1,2016,3,0.00102880658436214
60,MAS,0,4,1,5,2016,9,0.0051440329218107
61,MEX,0,3,2,5,2016,8,0.0051440329218107
62,VEN,0,2,1,3,2016,5,0.0030864197530864196
63,ALG,0,2,0,2,2016,4,0.00205761316872428
63,IRL,0,2,0,2,2016,4,0.00205761316872428
65,LTU,0,1,3,4,2016,5,0.00411522633744856
66,BUL,0,1,2,3,2016,4,0.0030864197530864196
67,IND,0,1,1,2,2016,3,0.00205761316872428
67,MGL,0,1,1,2,2016,3,0.00205761316872428
69,BDI,0,1,0,1,2016,2,0.00102880658436214
69,GRN,0,1,0,1,2016,2,0.00102880658436214
69,NIG,0,1,0,1,2016,2,0.00102880658436214
69,PHI,0,1,0,1,2016,2,0.00102880658436214
69,QAT,0,1,0,1,2016,2,0.00102880658436214
74,NOR,0,0,4,4,2016,4,0.00411522633744856
75,EGY,0,0,3,3,2016,3,0.0030864197530864196
75,TUN,0,0,3,3,2016,3,0.0030864197530864196
77,ISR,0,0,2,2,2016,2,0.00205761316872428
78,AUT,0,0,1,1,2016,1,0.00102880658436214
78,DOM,0,0,1,1,2016,1,0.00102880658436214
78,EST,0,0,1,1,2016,1,0.00102880658436214
78,FIN,0,0,1,1,2016,1,0.00102880658436214
78,MAR,0,0,1,1,2016,1,0.00102880658436214
78,NGR,0,0,1,1,2016,1,0.00102880658436214
78,POR,0,0,1,1,2016,1,0.00102880658436214
78,TTO,0,0,1,1,2016,1,0.00102880658436214
78,UAE,0,0,1,1,2016,1,0.00102880658436214
1,USA,39,41,33,113,2020,232,0.10462962962962963
2,CHN,38,32,19,89,2020,197,0.0824074074074074
3,JPN,27,14,17,58,2020,126,0.053703703703703705
4,GBR,22,20,22,64,2020,128,0.05925925925925926
5,ROC,20,28,23,71,2020,139,0.06574074074074074
6,AUS,17,7,22,46,2020,87,0.04259259259259259
7,NED,10,12,14,36,2020,68,0.03333333333333333
8,FRA,10,12,11,33,2020,65,0.030555555555555555
9,GER,10,11,16,37,2020,68,0.03425925925925926
10,ITA,10,10,20,40,2020,70,0.037037037037037035
11,CAN,7,7,10,24,2020,45,0.022222222222222223
12,BRA,7,6,8,21,2020,41,0.019444444444444445
13,NZL,7,6,7,20,2020,40,0.018518518518518517
14,CUB,7,3,5,15,2020,32,0.013888888888888888
15,HUN,6,7,7,20,2020,39,0.018518518518518517
16,KOR,6,4,10,20,2020,36,0.018518518518518517
17,POL,4,5,5,14,2020,27,0.012962962962962963
18,CZE,4,4,3,11,2020,23,0.010185185185185186
19,KEN,4,4,2,10,2020,22,0.009259259259259259
20,NOR,4,2,2,8,2020,18,0.007407407407407408
21,JAM,4,1,4,9,2020,18,0.008333333333333333
22,ESP,3,8,6,17,2020,31,0.01574074074074074
23,SWE,3,6,0,9,2020,21,0.008333333333333333
24,SUI,3,4,6,13,2020,23,0.012037037037037037
25,DEN,3,4,4,11,2020,21,0.010185185185185186
26,CRO,3,3,2,8,2020,17,0.007407407407407408
27,IRI,3,2,2,7,2020,15,0.006481481481481481
28,SRB,3,1,5,9,2020,16,0.008333333333333333
29,BEL,3,1,3,7,2020,14,0.006481481481481481
30,BUL,3,1,2,6,2020,13,0.005555555555555556
31,SLO,3,1,1,5,2020,12,0.004629629629629629
32,UZB,3,0,2,5,2020,11,0.004629629629629629
33,GEO,2,5,1,8,2020,17,0.007407407407407408
34,TPE,2,4,6,12,2020,20,0.011111111111111112
35,TUR,2,2,9,13,2020,19,0.012037037037037037
36,GRE,2,1,1,4,2020,9,0.003703703703703704
36,UGA,2,1,1,4,2020,9,0.003703703703703704
38,ECU,2,1,0,3,2020,8,0.002777777777777778
39,IRL,2,0,2,4,2020,8,0.003703703703703704
39,ISR,2,0,2,4,2020,8,0.003703703703703704
41,QAT,2,0,1,3,2020,7,0.002777777777777778
42,BAH,2,0,0,2,2020,6,0.001851851851851852
42,KOS,2,0,0,2,2020,6,0.001851851851851852
44,UKR,1,6,12,19,2020,27,0.017592592592592594
45,BLR,1,3,3,7,2020,12,0.006481481481481481
46,ROU,1,3,0,4,2020,9,0.003703703703703704
46,VEN,1,3,0,4,2020,9,0.003703703703703704
48,IND,1,2,4,7,2020,11,0.006481481481481481
49,HKG,1,2,3,6,2020,10,0.005555555555555556
50,PHI,1,2,1,4,2020,8,0.003703703703703704
50,SVK,1,2,1,4,2020,8,0.003703703703703704
52,RSA,1,2,0,3,2020,7,0.002777777777777778
53,AUT,1,1,5,7,2020,10,0.006481481481481481
54,EGY,1,1,4,6,2020,9,0.005555555555555556
55,INA,1,1,3,5,2020,8,0.004629629629629629
56,ETH,1,1,2,4,2020,7,0.003703703703703704
56,POR,1,1,2,4,2020,7,0.003703703703703704
58,TUN,1,1,0,2,2020,5,0.001851851851851852
59,EST,1,0,1,2,2020,4,0.001851851851851852
59,FIJ,1,0,1,2,2020,4,0.001851851851851852
59,LAT,1,0,1,2,2020,4,0.001851851851851852
59,THA,1,0,1,2,2020,4,0.001851851851851852
63,BER,1,0,0,1,2020,3,0.000925925925925926
63,MAR,1,0,0,1,2020,3,0.000925925925925926
63,PUR,1,0,0,1,2020,3,0.000925925925925926
66,COL,0,4,1,5,2020,9,0.004629629629629629
67,AZE,0,3,4,7,2020,10,0.006481481481481481
68,DOM,0,3,2,5,2020,8,0.004629629629629629
69,ARM,0,2,2,4,2020,6,0.003703703703703704
70,KGZ,0,2,1,3,2020,5,0.002777777777777778
71,MGL,0,1,3,4,2020,5,0.003703703703703704
72,ARG,0,1,2,3,2020,4,0.002777777777777778
72,SMR,0,1,2,3,2020,4,0.002777777777777778
74,JOR,0,1,1,2,2020,3,0.001851851851851852
74,MAS,0,1,1,2,2020,3,0.001851851851851852
74,NGR,0,1,1,2,2020,3,0.001851851851851852
77,BRN,0,1,0,1,2020,2,0.000925925925925926
77,LTU,0,1,0,1,2020,2,0.000925925925925926
77,NAM,0,1,0,1,2020,2,0.000925925925925926
77,MKD,0,1,0,1,2020,2,0.000925925925925926
77,KSA,0,1,0,1,2020,2,0.000925925925925926
77,TKM,0,1,0,1,2020,2,0.000925925925925926
83,KAZ,0,0,8,8,2020,8,0.007407407407407408
84,MEX,0,0,4,4,2020,4,0.003703703703703704
85,FIN,0,0,2,2,2020,2,0.001851851851851852
86,BOT,0,0,1,1,2020,1,0.000925925925925926
86,BUR,0,0,1,1,2020,1,0.000925925925925926
86,Ghana,0,0,1,1,2020,1,0.000925925925925926
86,GRN,0,0,1,1,2020,1,0.000925925925925926
86,CIV,0,0,1,1,2020,1,0.000925925925925926
86,KUW,0,0,1,1,2020,1,0.000925925925925926
86,MDA,0,0,1,1,2020,1,0.000925925925925926
86,SYR,0,0,1,1,2020,1,0.000925925925925926
1,USA,40,44,42,126,2024,250,0.12127045235803657
2,CHN,40,27,24,91,2024,198,0.0875842155919153
3,JPN,20,12,13,45,2024,97,0.04331087584215592
4,AUS,18,19,16,53,2024,108,0.05101058710298364
5,FRA,16,26,22,64,2024,122,0.061597690086621755
6,NED,15,7,12,34,2024,71,0.032723772858517804
7,GBR,14,22,29,65,2024,115,0.06256015399422522
8,KOR,13,9,10,32,2024,67,0.030798845043310877
9,ITA,12,13,15,40,2024,77,0.03849855630413859
10,GER,12,13,8,33,2024,70,0.03176130895091434
11,NZL,10,7,3,20,2024,47,0.019249278152069296
12,CAN,9,7,11,27,2024,52,0.02598652550529355
13,UZB,8,2,3,13,2024,31,0.012512030798845043
14,HUN,6,7,6,19,2024,38,0.01828681424446583
15,ESP,5,4,9,18,2024,32,0.017324350336862367
16,SWE,4,4,3,11,2024,23,0.010587102983638113
17,KEN,4,2,5,11,2024,21,0.010587102983638113
18,NOR,4,1,3,8,2024,17,0.007699711260827719
19,IRL,4,0,3,7,2024,15,0.006737247353224254
20,BRA,3,7,10,20,2024,33,0.019249278152069296
21,IRI,3,6,3,12,2024,24,0.011549566891241578
22,UKR,3,5,4,12,2024,23,0.011549566891241578
23,ROU,3,4,2,9,2024,19,0.008662175168431183
24,GEO,3,3,1,7,2024,16,0.006737247353224254
25,BEL,3,1,6,10,2024,17,0.009624639076034648
26,BUL,3,1,3,7,2024,14,0.006737247353224254
27,SRB,3,1,1,5,2024,12,0.004812319538017324
28,CZE,3,0,2,5,2024,11,0.004812319538017324
29,DEN,2,2,5,9,2024,15,0.008662175168431183
30,AZE,2,2,3,7,2024,13,0.006737247353224254
30,CRO,2,2,3,7,2024,13,0.006737247353224254
32,CUB,2,1,6,9,2024,14,0.008662175168431183
33,BRN,2,1,1,4,2024,9,0.0038498556304138597
34,SLO,2,1,0,3,2024,8,0.0028873917228103944
35,TPE,2,0,5,7,2024,11,0.006737247353224254
36,AUT,2,0,3,5,2024,9,0.004812319538017324
37,HKG,2,0,2,4,2024,8,0.0038498556304138597
37,PHI,2,0,2,4,2024,8,0.0038498556304138597
39,ALG,2,0,1,3,2024,7,0.0028873917228103944
39,INA,2,0,1,3,2024,7,0.0028873917228103944
41,ISR,1,5,1,7,2024,14,0.006737247353224254
42,POL,1,4,5,10,2024,16,0.009624639076034648
43,KAZ,1,3,3,7,2024,12,0.006737247353224254
44,JAM,1,3,2,6,2024,11,0.005774783445620789
44,RSA,1,3,2,6,2024,11,0.005774783445620789
44,THA,1,3,2,6,2024,11,0.005774783445620789
47,ETH,1,3,0,4,2024,9,0.0038498556304138597
48,SUI,1,2,5,8,2024,12,0.007699711260827719
49,ECU,1,2,2,5,2024,9,0.004812319538017324
50,POR,1,2,1,4,2024,8,0.0038498556304138597
51,GRE,1,1,6,8,2024,11,0.007699711260827719
52,ARG,1,1,1,3,2024,6,0.0028873917228103944
52,EGY,1,1,1,3,2024,6,0.0028873917228103944
52,TUN,1,1,1,3,2024,6,0.0028873917228103944
55,BOT,1,1,0,2,2024,5,0.0019249278152069298
55,CHI,1,1,0,2,2024,5,0.0019249278152069298
55,LCA,1,1,0,2,2024,5,0.0019249278152069298
55,UGA,1,1,0,2,2024,5,0.0019249278152069298
59,DOM,1,0,2,3,2024,5,0.0028873917228103944
60,GUA,1,0,1,2,2024,4,0.0019249278152069298
60,MAR,1,0,1,2,2024,4,0.0019249278152069298
62,DMA,1,0,0,1,2024,3,0.0009624639076034649
62,PAK,1,0,0,1,2024,3,0.0009624639076034649
64,TUR,0,3,5,8,2024,11,0.007699711260827719
65,MEX,0,3,2,5,2024,8,0.004812319538017324
66,ARM,0,3,1,4,2024,7,0.0038498556304138597
66,COL,0,3,1,4,2024,7,0.0038498556304138597
68,KGZ,0,2,4,6,2024,8,0.005774783445620789
68,PRK,0,2,4,6,2024,8,0.005774783445620789
70,LTU,0,2,2,4,2024,6,0.0038498556304138597
71,IND,0,1,5,6,2024,7,0.005774783445620789
72,MDA,0,1,3,4,2024,5,0.0038498556304138597
73,KOS,0,1,1,2,2024,3,0.0019249278152069298
74,CYP,0,1,0,1,2024,2,0.0009624639076034649
74,FIJ,0,1,0,1,2024,2,0.0009624639076034649
74,JOR,0,1,0,1,2024,2,0.0009624639076034649
74,MGL,0,1,0,1,2024,2,0.0009624639076034649
74,PAN,0,1,0,1,2024,2,0.0009624639076034649
79,TJK,0,0,3,3,2024,3,0.0028873917228103944
80,ALB,0,0,2,2,2024,2,0.0019249278152069298
80,GRN,0,0,2,2,2024,2,0.0019249278152069298
80,MAS,0,0,2,2,2024,2,0.0019249278152069298
80,PUR,0,0,2,2,2024,2,0.0019249278152069298
84,CPV,0,0,1,1,2024,1,0.0009624639076034649
84,CIV,0,0,1,1,2024,1,0.0009624639076034649
84,PER,0,0,1,1,2024,1,0.0009624639076034649
84,QAT,0,0,1,1,2024,1,0.0009624639076034649
84,ROT,0,0,1,1,2024,1,0.0009624639076034649
84,SGP,0,0,1,1,2024,1,0.0009624639076034649
84,SVK,0,0,1,1,2024,1,0.0009624639076034649
84,ZAM,0,0,1,1,2024,1,0.0009624639076034649
